pk,sk,assigned_cohort,fee,status_code,status,accept_reject_date,amount_to_be_paid,transaction_id,payment_status,i_agree_to_terms_and_conditions_of_global_shala,modified_at,apply_date,accept_reject_reason,category,not_started_date,cohort_p2,cohort_p1,team_name,team_code,application_id,i_have_read_and_agreed_to_the_terms_and_conditions,send_for_approval_mechanism_t_c,i_understand_that_i_will_have_to_commit_at_least56_hours_each_w,why_do_you_want_to_apply_for_this_internship,created_at,created_month,created_quarter,external_reference_url,work_item_sk,i_understand_that_this_is_the_first_step_towards_my_application,how_did_you_hear_about_this_opportunity,can_you_share_an_experience_where_you_proactively_pursued_learn,dropped_out_date,appear_in_wishlist
Learner#3f19024d-9ba5-43de-bdc7-0d4f42829bb4,Learner#000000001004YP2NCQ4D4PTFNH,BLANF2L,,1070,Team Allocated,9/25/2024,$0.00,,unpaid,,9/25/2024,9/25/2024,Accepted by automation,,,BLANF2L,BOMMT8F,,,,TRUE,,,Applying from cypress automation testing.,9/18/2024,September,Q3,,WorkItem#0000000010Q21MNRQQA11Q4E1X,,,,,
Learner#a47b1ef5-baf9-498a-a1a2-bc510c9e0461,Learner#000000001004YP2NCQ4D4PTFNH,BOMMT8F,,1070,Team Allocated,11/5/2024,$0.00,,unpaid,,11/5/2024,11/5/2024,https://excelerate-profile-dev.s3.ap-south-1.amazonaws.com/WebsiteImageFiles/FileUploadedByModerator/reject_approver_expgps_1730799150190.png,,,,BOMMT8F,,,,TRUE,,,sefeqf,4/22/2025,April,Q2,,WorkItem#0000000010SHXXQ30NADQ84DM3,,,,,
Learner#5abc674e-6d49-478b-8800-fbe7c3eb894c,Learner#000000001004YP2NCQ4D4PTFNH,BTG7RP3,,1070,Team Allocated,2/25/2025,$0.00,,unpaid,,2/25/2025,2/18/2025,sssssss,,,,BTG7RP3,,,,TRUE,,,Learning,9/5/2025,September,Q3,https://sites.google.com/,WorkItem#00000000102SEJAT55TARARYSD,,,,,
Learner#791c1c74-53b4-457e-b13e-38df4e6c3d35,Learner#000000001004ZVN5DDGPFP1FHW,BWK4NJ7,,1070,Team Allocated,6/3/2024,$0.00,,unpaid,TRUE,3/6/2025,5/31/2024,Accepted by automation,,,,BWK4NJ7,,,,,,,,8/2/2023,August,Q3,,WorkItem#0000000010PG4JBRQCTP7S5CWF,,,,,
Learner#,Learner#000000001004ZVN5DDGPFP1FHW,,$0.00,,,,,,,,3/7/2025,,,Event,,,,,,,,,,,8/3/2023,August,Q3,,WorkItem#0000000010Q0CSBNVCSVBPVTFS,,,,,FALSE
Learner#8d4c12bb-211d-459f-8b2d-653095f9b529,Learner#0000000010050E0K6EJNA3F5XT,,,1020,Accepted,4/25/2024,$1.00,,unpaid,,4/25/2024,4/25/2024,Accepted by automation,,,,B5F091Z,,,,TRUE,,,Applying from cypress automation testing.,11/5/2023,November,Q4,,WorkItem#0000000010XJXC2CBPKP0SDETX,,,,,
Learner#,Learner#0000000010050E0K6EJNA3F5XT,,$1.00,,,,,,,,4/22/2024,,,Masterclass,,,,,,,,,,,2/26/2026,February,Q1,,WorkItem#0000000010RTW4G45Q2NR4FGS7,,,,,"""question'"":'""Additional Notes'"""
Learner#5abc674e-6d49-478b-8800-fbe7c3eb894c,Learner#0000000010058SAPKQ5ZTE9ZPN,,,1010,Applied,,$0.00,,unpaid,,4/17/2025,4/17/2025,,,,,B1AQFJ3,,,,TRUE,,,Learning,3/15/2024,March,Q1,,,,,,,
Learner#,Learner#0000000010058SAPKQ5ZTE9ZPN,,$0.00,,,,,,,,3/20/2025,,,Internship,,,,,,,,,,,4/23/2025,April,Q2,,,,,,,"""ref_properties'"":'""{\'""relation_id\'"":\'""K7755J\'""}'""}"
Learner#791c1c74-53b4-457e-b13e-38df4e6c3d35,Learner#0000000010058SAPKQ5ZTE9ZPN,B1AQFJ3,,1070,Team Allocated,3/19/2025,$0.00,,unpaid,,3/20/2025,3/19/2025,dsfsa,,,,B1AQFJ3,,,,TRUE,,,sdasd,8/28/2025,August,Q3,http://localhost:4200/,WorkItem#00000000102P7PVCDRRQC9GVEK,,,,,
Learner#,Learner#000000001005AQBQ17E28G0B7T,,$36.00,,,,,,,,6/13/2023,,,Internship,,,,,,,,,,,3/20/2025,March,Q1,,,,,,,"""ref_properties'"":'""{\'""relation_id\'"":\'""8QFGJ5\'""}'""}"
Learner#7ddb49b8-71e7-43ba-89de-ba5564db97ff,Learner#000000001005AQBQ17E28G0B7T,B5IDO4T,,1070,Team Allocated,#VALUE!,$36.00,,unpaid,,4/4/2023,3/22/2023,reject,,,BJHVAFQ,B5IDO4T,,,,TRUE,,,Learn,1/21/2026,January,Q1,,,,,,,
Learner#,Learner#000000001005Y0X2CCT98JA8Y5,,$0.00,,,,,,,,12/12/2025,,,Internship,,,,,,,,,,,9/17/2024,September,Q3,,WorkItem#0000000010CS2BHHECVTHP37KR,,,,,"""is_frozen'"":'""false'"""
Learner#9bbce4d1-b4cf-46b3-a556-870c269bc735,Learner#000000001005Y0X2CCT98JA8Y5,BG2YWOX,,1070,Team Allocated,12/12/2025,$0.00,,unpaid,,12/12/2025,12/12/2025,Candidate meets all requirements,,,,BG2YWOX,,,Why do you want to apply for this Internship? *,TRUE,,,Why do you want to apply for this Internship? *,,,,,WorkItem#0000000010JW1CCE08ENVA5P9N,,,,,
Learner#39d44a43-5dd4-4ffe-9b57-83541cb11b7a,Learner#000000001005Y0X2CCT98JA8Y5,BG2YWOX,,1070,Team Allocated,12/12/2025,$0.00,,unpaid,,12/12/2025,12/12/2025,Candidate meets all requirements,,,,BG2YWOX,,,Why do you want to apply for this Internship? *,TRUE,,,Why do you want to apply for this Internship? *,8/28/2025,August,Q3,https://www.google.com/,WorkItem#0000000010XF8BCYG03Q1PMYMK,,,,,
Learner#b0012672-3be3-47a2-a62c-a50742e757e3,Learner#0000000010062WHP1C159VETJV,,,1010,Applied,,$0.00,,unpaid,,11/11/2024,11/11/2024,,,,,B9NLKCC,aaa,T9ICAFW,,TRUE,automatic,,,7/18/2024,July,Q3,,,,,,,
Learner#,Learner#0000000010062WHP1C159VETJV,,$0.00,,,,,,,,11/11/2024,,,Competition,,,,,,,,,,,8/1/2024,August,Q3,,WorkItem#000000001083WY1KGKR7R53GVS,,,,,
Learner#,Learner#000000001006CHX51B55FN621W,,$1.00,,,,,,,,10/15/2025,,,Internship,,,,,,,,,,,8/26/2024,August,Q3,,WorkItem#0000000010DXCCMWV4N2QJXSE2,,,,,"{'""serial_number'"":'""0'"""
Learner#72d530e5-edca-40e6-b47f-1c1ddf06b4bf,Learner#000000001006Z7E12038DFC2E9,BYVTFFO,,1070,Team Allocated,3/31/2023,$0.00,,unpaid,,3/31/2023,3/31/2023,LGTM again,,,,BYVTFFO,MSD3,TBRM408,TESTING,TRUE,manual,,,1/17/2023,January,Q1,,,,,,,
Learner#d75ceedc-a2c7-44d2-a7c0-fdfcf0beea79,Learner#000000001006Z7E12038DFC2E9,,,1010,Applied,,$0.00,,unpaid,,4/1/2023,4/1/2023,,,,,BYVTFFO,test auto approve,TR0C3FX,,TRUE,automatic,,,3/9/2023,March,Q1,,,,,,,
Learner#b20d1870-25e8-4b99-b783-58a358cbba74,Learner#000000001006Z7E12038DFC2E9,,,1010,Applied,,$0.00,,unpaid,,3/9/2023,3/9/2023,,,,,BYVTFFO,DF,TRH1VJE,DASDDA,TRUE,automatic,,,4/10/2023,April,Q2,,,,,,,
Learner#3cacb4d5-6e17-48b2-b7a1-09b91462bc6f,Learner#000000001006Z7E12038DFC2E9,,,1040,Waitlisted,4/7/2023,$0.00,,unpaid,,4/7/2023,4/7/2023,This is an auto approved opportunity,,,,BYVTFFO,Kpshringi,TPTUH43,,TRUE,automatic,,,6/27/2023,June,Q2,,,,,,,
Learner#28815ab2-2231-4260-bdbb-2a9a43405961,Learner#000000001006Z7E12038DFC2E9,,,1011,Send,,$0.00,,unpaid,,4/4/2023,4/4/2023,,,,,BYVTFFO,sdfsdfsdf,T6EL7A5,WERWERWE,TRUE,manual,,,8/8/2023,August,Q3,,,,,,,
Learner#838ff3db-f3de-4ae4-9c06-29632039ad2c,Learner#000000001006Z7E12038DFC2E9,BYVTFFO,,1120,Rewards,#VALUE!,$0.00,,unpaid,,3/9/2023,3/9/2023,Test,,,,BYVTFFO,JUSTICE,TYTEL5H,DASDDA,TRUE,automatic,,,,,,,,,,,,
Learner#db3ca45e-7784-4db9-9ea2-7c4f59d519db,Learner#000000001006Z7E12038DFC2E9,,,1010,Applied,,$0.00,,unpaid,,1/1/1970,4/19/2023,,,,,BYVTFFO,akhil_new@glo,TUH4EFJ,,TRUE,manual,,,3/4/2024,March,Q1,,,,,,,
Learner#2e5c613a-e7e7-4e04-a794-af9f05a06a0f,Learner#000000001006Z7E12038DFC2E9,,,1010,Applied,,$0.00,,unpaid,,1/1/1970,4/19/2023,,,,,BYVTFFO,akhil_new@glo,TUH4EFJ,,TRUE,manual,,,4/19/2024,April,Q2,,,,,,,
Learner#,Learner#000000001006Z7E12038DFC2E9,,$0.00,,,,,,,,6/13/2023,,,Competition,,,,,,,,,,,5/1/2024,May,Q2,,,,,,,"{'""sk'"":'""CompetitionUser#0000000010PVC3VPZCGE0GX662'"""
Learner#891054d6-8642-4929-b1ab-cb8c5d240014,Learner#000000001006Z7E12038DFC2E9,,,1020,Accepted,,$0.00,,unpaid,,4/4/2023,4/4/2023,,,,,BYVTFFO,sdfsdfsdf,T6EL7A5,DSFSDF,TRUE,manual,,,6/30/2024,June,Q2,,,,,,,
Learner#78a25165-3e57-4159-9e78-c0d5566ffb94,Learner#000000001006Z7E12038DFC2E9,,,1011,Send,,$0.00,,unpaid,,4/4/2023,4/4/2023,,,,,BYVTFFO,TEST,TJQDCHC,,TRUE,manual,,,9/18/2024,September,Q3,,,,,,,
Learner#66616bc8-02aa-4ad8-92b5-b1881b3c81d2,Learner#000000001006Z7E12038DFC2E9,,,1040,Waitlisted,4/19/2023,$0.00,,unpaid,,4/19/2023,4/3/2023,acc,,,,BYVTFFO,team proceeding 2,TP60IYX,,TRUE,manual,,,9/18/2024,September,Q3,,,,,,,
Learner#79bac6f6-bee2-4169-a792-fff5b29c5b12,Learner#000000001006Z7E12038DFC2E9,BYVTFFO,,1120,Rewards,#VALUE!,$0.00,,unpaid,,3/9/2023,3/9/2023,Test,,,,BYVTFFO,JUSTICE,TYTEL5H,VERRGETRW,TRUE,automatic,,,9/30/2024,September,Q3,,,,,,,
Learner#7ddb49b8-71e7-43ba-89de-ba5564db97ff,Learner#000000001006Z7E12038DFC2E9,,,1010,Applied,,$0.00,,unpaid,,3/21/2023,3/21/2023,,,,,BYVTFFO,ccx,TUXYLVZ,,TRUE,automatic,,,,,,,,,,,,
Learner#84e75772-cf63-4c1c-a6ba-c924d968dcc1,Learner#000000001006Z7E12038DFC2E9,,,1011,Send,,$0.00,,unpaid,,4/4/2023,4/4/2023,,,,,BYVTFFO,test,TSCQO29,DDSFDS,TRUE,manual,,,,,,,,,,,,
Learner#a2561579-a8bc-488a-8ed1-a9499f405c5e,Learner#000000001006Z7E12038DFC2E9,,,1011,Send,,$0.00,,unpaid,,4/4/2023,4/4/2023,,,,,BYVTFFO,test,TSCQO29,SFSDFSD,TRUE,manual,,,4/16/2025,April,Q2,,,,,,,
Learner#e041ca64-ab5a-4108-99a1-514eb32b806c,Learner#000000001006Z7E12038DFC2E9,,,1040,Waitlisted,4/19/2023,$0.00,,unpaid,,4/19/2023,4/3/2023,acc,,,,BYVTFFO,team proceeding 2,TP60IYX,,TRUE,manual,,,6/24/2025,June,Q2,,,,,,,
Learner#1c18f3e9-b924-437f-ac54-be0ff6969732,Learner#000000001006Z7E12038DFC2E9,BYVTFFO,,1120,Rewards,3/31/2023,$0.00,,unpaid,,3/31/2023,3/30/2023,LGTM again,,,,BYVTFFO,MSD3,TBRM408,TESTING,TRUE,manual,,,6/24/2025,June,Q2,,,,,,,
Learner#8558d6d0-729a-4b6a-8fcf-380d163e2eca,Learner#000000001006Z7E12038DFC2E9,,,1011,Send,,$0.00,,unpaid,,4/4/2023,4/4/2023,,,,,BYVTFFO,TEST,TJQDCHC,FGHDSF,TRUE,manual,,,6/27/2025,June,Q2,,,,,,,
Learner#4e833f6f-32da-41ba-9f41-66cef6d36d31,Learner#000000001006Z7E12038DFC2E9,,,1040,Waitlisted,4/7/2023,$0.00,,unpaid,,4/7/2023,4/7/2023,This is an auto approved opportunity,,,,BYVTFFO,Kpshringi,TPTUH43,,TRUE,automatic,,,7/17/2025,July,Q3,,,,,,,
Learner#,Learner#000000001006ZTE4K70MC8CEG0,,$1.00,,,,,,,,11/24/2025,,,Internship,,,,,,,,,,,12/15/2023,December,Q4,,,,,,,"""ref_properties'"":'""{\'""relation_id\'"":\'""GJIBO5\'""}'""}"
Learner#,Learner#000000001007762HXTYCYK84EX,,$0.00,,,,,,,,9/22/2023,,,Course,,,,,,,,,,,3/13/2024,March,Q1,,,,,,,"""is_frozen'"":'""false'"""
Learner#,Learner#000000001007A6NGTWVPKJVXDW,,$0.00,,,,,,,,4/15/2026,,,Career,,,,,,,,,,,4/18/2024,April,Q2,,WorkItem#00000000106ER2EWX35H56Y4NQ,,,,,"""is_frozen'"":'""false'"""
Learner#35596f45-67d4-4d3b-befe-741ba15f942a,Learner#000000001007A6NGTWVPKJVXDW,BXR1AW8,,1120,Rewards,4/15/2026,$0.00,,unpaid,TRUE,4/15/2026,4/15/2026,Strong application,,,,BXR1AW8,,,,,,,,9/25/2024,September,Q3,,WorkItem#0000000010NYKSDJHHR75CJC9W,,,,,
Learner#,Learner#000000001007KKSWA21CNCY3YQ,,$0.00,,,,,,,,9/22/2025,,,JobSimulation,,,,,,,,,,,8/11/2023,August,Q3,,WorkItem#0000000010HABMQA2Z940JRSNC,,,,,"{'""serial_number'"":'""1'"""
Learner#,Learner#000000001007VWK5BKBBBQQ698,,$0.00,,,,,,,,8/21/2023,,,Internship,,,,,,,,,,,8/28/2023,August,Q3,,,,,,,
Learner#7d3a9e43-8b49-497e-b92f-c74a378f8067,Learner#000000001007VWK5BKBBBQQ698,BBXP9PT,,1070,Team Allocated,5/15/2023,$0.00,,unpaid,,5/15/2023,5/15/2023,This is an auto approved opportunity,,,BF2PMLC,BBXP9PT,,,,TRUE,,,new learning,9/8/2023,September,Q3,,,,,,,
Learner#e84aea65-34d3-440a-bf04-f877d3bc5ce2,Learner#000000001007VWK5BKBBBQQ698,BBXP9PT,,1070,Team Allocated,5/11/2023,$0.00,,unpaid,,5/11/2023,5/11/2023,This is an auto approved opportunity,,,,BBXP9PT,,,,TRUE,,,Testing,10/31/2023,October,Q4,,,,,,,
Learner#5b103f6b-b175-46e1-b148-0683da9aff14,Learner#000000001007VWK5BKBBBQQ698,BF2PMLC,,1120,Rewards,5/24/2023,$0.00,,unpaid,,5/24/2023,5/24/2023,This is an auto approved opportunity,,,,BF2PMLC,,,,TRUE,,,learn,11/3/2023,November,Q4,,,,,,,
Learner#7ddb49b8-71e7-43ba-89de-ba5564db97ff,Learner#000000001007VWK5BKBBBQQ698,BBXP9PT,,1070,Team Allocated,5/15/2023,$0.00,,unpaid,,5/15/2023,5/15/2023,This is an auto approved opportunity,,,BF2PMLC,BBXP9PT,,,,TRUE,,,Learn,5/7/2024,May,Q2,,,,,,,
Learner#,Learner#000000001007VYA40WQC5AVWX8,,$0.00,,,,,,,,8/22/2023,,,Internship,,,,,,,,,,,4/16/2025,April,Q2,,,,,,,"{'""code'"":'""QIJY8W4'"""
Learner#,Learner#000000001007Y8K55J7SAAXZ5V,,$0.00,,,,,,,,11/19/2023,,,Masterclass,,,,,,,,,,,2/28/2024,February,Q1,,,,,,,"""question'"":'""Question3'"""
Learner#,Learner#0000000010089GYK3FRQZR81F2,,$0.00,,,,,,,,11/3/2023,,,Career,,,,,,,,,,,11/19/2023,November,Q4,,,,,,,"""question'"":'""Question3'"""
Learner#,Learner#000000001008A2YQM6RFGXETRK,,$0.00,,,,,,,,12/9/2025,,,Internship,,,,,,,,,,,2/13/2024,February,Q1,,WorkItem#00000000106G0DS98F4JW4XYEK,,,,,"""ans_type'"":'""string'""}"
Learner#,Learner#000000001008AT73JGEGXNMJJR,,$0.00,,,,,,,,6/16/2023,,,Competition,,,,,,,,,,,2/20/2024,February,Q1,,,,,,,
Learner#,Learner#000000001008FA409GNDQSXN0P,,$100.00,,,,,,,,1/29/2026,,,Course,,,,,,,,,,,10/1/2024,October,Q4,,WorkItem#0000000010MEB8A5V4TWVGYHNR,,,,,"""is_frozen'"":'""false'"""
Learner#a4809839-e24b-4817-ac33-05ffdbbf3abd,Learner#000000001008FA409GNDQSXN0P,,,1020,Accepted,1/29/2026,$100.00,,unpaid,TRUE,1/29/2026,1/29/2026,Strong application,,,,BOPE8H8,,,,,,,,3/12/2025,March,Q1,,WorkItem#0000000010Q5XZ9ZB3E541F3ZM,,,,,
Learner#,Learner#000000001008KA64Q5B4SYZAVE,,$0.00,,,,,,,,5/3/2024,,,Career,,,,,,,,,,,9/18/2024,September,Q3,,WorkItem#0000000010WG2GZXGBSXRAHJ5Z,,,,,
Learner#8d4c12bb-211d-459f-8b2d-653095f9b529,Learner#000000001008NRSGYPYBNZSACY,BHQ02RH,,1120,Rewards,2/29/2024,$1.00,pi_3Op90oHbktQoRPOz0vNcjIce,paid,,2/29/2024,2/29/2024,Accepted by automation,,,,BHQ02RH,,,,TRUE,,,Applying from cypress automation testing.,4/13/2023,April,Q2,,WorkItem#0000000010BV7KTFRA75XTWA2Z,,,,,
Learner#35596f45-67d4-4d3b-befe-741ba15f942a,Learner#000000001008NRSGYPYBNZSACY,BHQ02RH,,1070,Team Allocated,2/29/2024,$1.00,pi_3OtU3kHbktQoRPOz0eCJDZzc,paid,,3/12/2024,2/29/2024,done,,,,BHQ02RH,,,,TRUE,,,hdufd,7/1/2023,July,Q3,,WorkItem#00000000107KEX1P9E272C5TPR,,,,,
Learner#,Learner#000000001008NRSGYPYBNZSACY,,$1.00,,,,,,,,4/17/2024,,,Internship,,,,,,,,,,,,,,,WorkItem#0000000010HT68AWCB0DNJXQC2,,,,,"""is_frozen'"":'""false'"""
Learner#,Learner#000000001008NSV3M62BRV3AQX,,$1.00,,,,,,,,8/7/2024,,,Event,,,,,,,,,,,12/15/2025,December,Q4,,WorkItem#00000000106BR4D3REPY893W0C,,,,,"""is_frozen'"":'""false'"""
Learner#,Learner#000000001008QRB1D4736STG8D,,$10.00,,,,,,,,7/22/2024,,,Internship,,,,,,,,,,,2/29/2024,February,Q1,,WorkItem#0000000010FGXAC12WQ3S392AE,,,,,FALSE
Learner#7ddb49b8-71e7-43ba-89de-ba5564db97ff,Learner#0000000010094GT5P3XM77Q2Y5,BF6XER5,,1110,Withdraw,8/3/2023,$0.00,,unpaid,TRUE,8/3/2023,8/3/2023,Accepted by automation,,,,BF6XER5,,,,,,,,6/16/2023,June,Q2,,,,,,,
Learner#e84aea65-34d3-440a-bf04-f877d3bc5ce2,Learner#0000000010094GT5P3XM77Q2Y5,,,1030,Rejected,10/5/2023,$0.00,,unpaid,TRUE,10/5/2023,9/6/2023,Rejecting,,,,BF6XER5,,,,,,,,8/29/2023,August,Q3,,,,,,,
Learner#2240afd2-69e5-4e41-8579-165a87ad5181,Learner#0000000010094GT5P3XM77Q2Y5,BF6XER5,,1055,Not Started,8/3/2023,$0.00,,unpaid,TRUE,8/3/2023,8/3/2023,Accepted by automation,,8/3/2023,,BF6XER5,,,,,,,,10/11/2023,October,Q4,,,,,,,
Learner#af27e259-1abc-4ae4-a20c-7728b11fe454,Learner#0000000010094GT5P3XM77Q2Y5,BF6XER5,,1070,Team Allocated,8/29/2023,$0.00,,unpaid,TRUE,8/29/2023,8/29/2023,ttgtr,,,BDWWEJ0,BF6XER5,,,,,,,,2/5/2024,February,Q1,,,,,,,
Learner#2e5c613a-e7e7-4e04-a794-af9f05a06a0f,Learner#0000000010094GT5P3XM77Q2Y5,BF6XER5,,1050,Dropped,8/3/2023,$0.00,,unpaid,TRUE,8/3/2023,8/3/2023,Accepted by automation,,,,BF6XER5,,,,,,,,8/9/2024,August,Q3,,,,,,8/3/2023,
Learner#44e622dc-ad15-42e2-b511-1baeb9c340e1,Learner#0000000010094GT5P3XM77Q2Y5,BF6XER5,,1120,Rewards,8/2/2023,$0.00,,unpaid,TRUE,8/2/2023,8/2/2023,Accepted by automation,,,,BF6XER5,,,,,,,,3/27/2025,March,Q1,,,,,,,
Learner#db3ca45e-7784-4db9-9ea2-7c4f59d519db,Learner#0000000010094GT5P3XM77Q2Y5,B17LCHO,,1070,Team Allocated,8/2/2023,$0.00,,unpaid,TRUE,8/3/2023,8/2/2023,Accepted by automation,,,,BF6XER5,,,,,,,,8/28/2025,August,Q3,,,,,,,
Learner#,Learner#0000000010094GT5P3XM77Q2Y5,,$0.00,,,,,,,,8/4/2023,,,Career,,,,,,,,,,,2/5/2026,February,Q1,,,,,,,"{'""sk'"":'""Testimonial#0000000010EJS8ZA1K012KYF0T'"""
Learner#,Learner#000000001009BJC8AGCXEN1V45,,$0.00,,,,,,,,3/4/2024,,,Engagement,,,,,,,,,,,10/2/2025,October,Q4,,WorkItem#000000001047WPB119VWRA36EV,,,,,"""question'"":'""Additional Notes'"""
Learner#,Learner#000000001009FDR1YX09TKP1M4,,$0.00,,,,,,,,11/13/2025,,,Career,,,,,,,,,,,1/22/2024,January,Q1,,WorkItem#000000001040H4YZGZC1AB701S,,,,,"{'""serial_number'"":'""0'"""
Learner#,Learner#000000001009HWBKXJS0HKYGZ3,,$1.00,,,,,,,,3/18/2024,,,Engagement,,,,,,,,,,,4/12/2024,April,Q2,,WorkItem#0000000010PE9EAVH0NASQ02PR,,,,,"""question'"":'""Additional Notes'"""
Learner#13c5db90-b9df-4192-a33c-23c23b416481,Learner#000000001009SDMJAKRJW5VVV2,,,1010,Applied,,$0.00,,unpaid,TRUE,3/6/2025,3/6/2025,,,,B7DR2ZO,BGSGWOD,,,,,,,,8/10/2023,August,Q3,,,,,,,
Learner#6f39a383-aa51-4642-8995-61e49649f6d8,Learner#000000001009SDMJAKRJW5VVV2,,,1030,Rejected,3/7/2025,$0.00,2345678,unpaid,TRUE,3/7/2025,2/13/2025,asasas,,,B7DR2ZO,BGSGWOD,,,,,,,,9/22/2023,September,Q3,,WorkItem#00000000101XYDP7FVZ34AZGY6,,,,,
Learner#c86f0318-f6be-46a1-8028-b91b71d1ff91,Learner#000000001009SDMJAKRJW5VVV2,,,1030,Rejected,5/20/2025,$0.00,,unpaid,TRUE,5/20/2025,3/7/2025,Education status is not mentioned,,,BGSGWOD,B7DR2ZO,,,,,,,,10/31/2023,October,Q4,,WorkItem#0000000010EVS5QYSJMK7A5538,,,,,
Learner#6375d748-302f-41cb-a5b0-4124e818a8aa,Learner#000000001009SDMJAKRJW5VVV2,,,1030,Rejected,3/3/2025,$0.00,,unpaid,TRUE,3/3/2025,3/3/2025,I don%27t like you...,,,BGSGWOD,B7DR2ZO,,,,,,,,11/7/2023,November,Q4,,WorkItem#0000000010JYWPXS21QT0YWZN8,,,,,
Learner#6ca14518-2878-4135-adc1-06e6f0605e0b,Learner#000000001009SDMJAKRJW5VVV2,,,1010,Applied,,$0.00,,unpaid,TRUE,3/10/2025,3/10/2025,,,,,BGSGWOD,,,,,,,,12/22/2023,December,Q4,,,,,,,
Learner#791c1c74-53b4-457e-b13e-38df4e6c3d35,Learner#000000001009SDMJAKRJW5VVV2,,,1010,Applied,,$0.00,,unpaid,TRUE,2/11/2025,2/11/2025,,,,B7DR2ZO,BGSGWOD,,,,,,,,5/24/2024,May,Q2,,,,,,,
Learner#fc5d3d04-2d76-47ef-ad87-b60b8bc35e3c,Learner#000000001009SDMJAKRJW5VVV2,,,1010,Applied,,$0.00,,unpaid,TRUE,3/17/2025,3/17/2025,,,,B7DR2ZO,BGSGWOD,,,,,,,,8/7/2024,August,Q3,,,,,,,
Learner#010364a2-767f-4bc8-9dcb-c000dcae9f04,Learner#000000001009SDMJAKRJW5VVV2,,,1010,Applied,,$0.00,,unpaid,TRUE,3/10/2025,3/10/2025,,,,,BGSGWOD,,,,,,,,12/23/2024,December,Q4,,,,,,,
Learner#,Learner#000000001009SDMJAKRJW5VVV2,,$0.00,,,,,,,,2/11/2025,,,Career,,,,,,,,,,,9/1/2025,September,Q3,,WorkItem#000000001051G3GEFWVMPQ2QHZ,,,,,"""question'"":'""Question2'"""
Learner#d2d72bdc-8740-44ca-8ec3-c6ce8c9270c4,Learner#000000001009SDMJAKRJW5VVV2,,,1010,Applied,,$0.00,,unpaid,TRUE,3/11/2025,3/11/2025,,,,B7DR2ZO,BGSGWOD,,,,,,,,3/25/2026,March,Q1,,,,,,,
Learner#a4809839-e24b-4817-ac33-05ffdbbf3abd,Learner#000000001009TZKYXNDZH62WR8,BK1A683,,1120,Rewards,3/18/2025,$1.00,,paid,,3/18/2025,3/18/2025,Accepted by automation,,,,BK1A683,,,,TRUE,,,Applying from cypress automation testing.,,,,,WorkItem#00000000108E0VSR2GVKRC0DEK,,,,,
Learner#,Learner#000000001009TZKYXNDZH62WR8,,$1.00,,,,,,,,3/18/2025,,,Masterclass,,,,,,,,,,,1/24/2024,January,Q1,,WorkItem#0000000010M5VR9NXMRSSZ1JJA,,,,,"""is_frozen'"":'""false'"""
Learner#,Learner#00000000100A16YWG38P65C2DW,,$10.00,,,,,,,,11/3/2025,,,Internship,,,,,,,,,,,12/15/2023,December,Q4,,WorkItem#00000000104Q7P7Z2GK6ZE5RZ7,,,,,"{'""serial_number'"":'""1'"""
Learner#5ab51766-a6f0-41b7-89a4-bb33916a7c3e,Learner#00000000100A2EABMT8Z21DWKG,B5ILZD5,,1120,Rewards,4/22/2026,$0.00,,unpaid,,4/22/2026,4/22/2026,Candidate meets all requirements,,,,B5ILZD5,,,,TRUE,,,12345678,4/3/2023,April,Q2,,WorkItem#0000000010Q06S49FA7SWSYXQP,,,,,
Learner#3f19024d-9ba5-43de-bdc7-0d4f42829bb4,Learner#00000000100A2EABMT8Z21DWKG,B5ILZD5,,1070,Team Allocated,3/27/2026,$0.00,,unpaid,,4/22/2026,3/27/2026,Candidate meets all requirements,,,,B5ILZD5,,,APP12345,TRUE,,,I want to apply for this internship to improve my skills and learn from industry experts.,,,,,WorkItem#0000000010WAX5FFF8YZKPHNBA,,,,,
Learner#77e0f6ac-cb7b-4fb6-a7c4-348e48749659,Learner#00000000100A2EABMT8Z21DWKG,,,1010,Applied,,$0.00,,unpaid,,4/7/2026,4/7/2026,,,,,B5ILZD5,,,,TRUE,,,I want to gain practical experience and develop key skills through hands-on internship work.,4/28/2024,April,Q2,,WorkItem#0000000010PEYVN7EY9DN2CA7F,,,,,
Learner#b0012672-3be3-47a2-a62c-a50742e757e3,Learner#00000000100A2EABMT8Z21DWKG,B5ILZD5,,1070,Team Allocated,3/27/2026,$0.00,,unpaid,,3/27/2026,3/27/2026,Candidate meets all requirements,,,,B5ILZD5,,,APP12345,TRUE,,,I want to apply for this internship to improve my skills and learn from industry experts.,5/8/2024,May,Q2,,WorkItem#00000000105T26FDW2Q5PG1SZN,,,,,
Learner#,Learner#00000000100A2EABMT8Z21DWKG,,$0.00,,,,,,,,4/22/2026,,,Internship,,,,,,,,,,,8/27/2025,August,Q3,,WorkItem#00000000108JYR6TD882G1TR7V,,,,,"{'""serial_number'"":'""0'"""
Learner#f9f52ded-a970-4700-830a-c13df19749e6,Learner#00000000100A2EABMT8Z21DWKG,B5ILZD5,,1070,Team Allocated,3/27/2026,$0.00,,unpaid,,3/27/2026,3/27/2026,Candidate meets all requirements,,,,B5ILZD5,,,APP12345,TRUE,,,I want to apply for this internship to improve my skills and learn from industry experts.,1/29/2026,January,Q1,,WorkItem#00000000105PTXAPYZF70ZRZF1,,,,,
